,n,q,r,a,u,e,p,name,Winner17,Winner15,q2,r2,nameshort,gain or hold,
E14000717,Great Yarmouth,8,2,EA,UKH,69793,99417,Great Yarmouth,Con,Con,8,2,Gre,Con hold ,
E14000718,Greenwich and Woolwich,7,-11,LO,UKI,73315,129210,Greenwich and Woolwich,Lab,Lab,7.5,-11,Gre,Lab hold ,
E14000719,Guildford,-2,-13,SE,UKJ,75733,114435,Guildford,Con,Con,-1.5,-13,Gui,Con hold ,
E14000720,Hackney North and Stoke Newington,5,-9,LO,UKI,88153,141379,Hackney North and Stoke Newington,Lab,Lab,5.5,-9,Hac,Lab hold ,
E14000721,Hackney South and Shoreditch,6,-10,LO,UKI,84971,134550,Hackney South and Shoreditch,Lab,Lab,6,-10,Hac,Lab hold ,
E14000722,Halesowen and Rowley Regis,-6,-3,WM,UKG,66048,89126,Halesowen and Rowley Regis,Con,Con,-5.5,-3,Hal,Con hold ,
E14000723,Halifax,-3,8,YH,UKE,70462,104649,Halifax,Lab,Lab,-3,8,Hal,Lab hold ,
E14000724,Haltemprice and Howden,2,9,YH,UKE,71195,89510,Haltemprice and Howden,Con,Con,2.5,9,Hal,Con hold ,
E14000725,Halton,-8,2,NW,UKD,72818,97326,Halton,Lab,Lab,-8,2,Hal,Lab hold ,
E14000726,Hammersmith,2,-10,LO,UKI,72254,117504,Hammersmith,Lab,Lab,2,-10,Ham,Lab hold ,
E14000727,Hampstead and Kilburn,3,-9,LO,UKI,80195,144586,Hampstead and Kilburn,Lab,Lab,3.5,-9,Ham,Lab hold ,
E14000728,Harborough,3,-1,EM,UKF,77760,106126,Harborough,Con,Con,3.5,-1,Har,Con hold ,
E14000729,Harlow,8,-3,EA,UKH,67994,96754,Harlow,Con,Con,8.5,-3,Har,Con hold ,
E14000730,Harrogate and Knaresborough,-2,11,YH,UKE,76408,103322,Harrogate and Knaresborough,Con,Con,-1.5,11,Har,Con hold ,
